Make,Model,Year,Mileage,Price
Toyota,86 Coupe,2018,50000,240000
Abarth,Spider,2017,10000,340000
Acura,Hybrid,2014,20000,450000
Alfa Romeo,Coupe,2017,70000,980000
Asto Martin,Cygnet,2013,90000,890000
Audi,Sedan,2023,60000,450000
Bently,SUV,2020,30000,320000
BMW,Hactchback,2012,20000,560000
Buick,Cascada,2018,40000,120000
Cadillic,ATS L Standard,2016,80000,650000
Chevrolet,Trax LT-SUV,2018,90000,780000
Chysler,200 c sedan,2015,30000,740000
Citroen,Berlingo,2015,60000,320000
Dacia,Duster SUV,2010,10000,420000
Dodge,Avenger,2008,40000,140000
Ferrari,California,2014,90000,230000
Fiat,Abarth,2017,30000,540000
Ford,Bronco,2022,50000,640000
GMC,Acadia AT4,2020,10000,540000
Hummer,H2 SUT,2008,80000,530000
Hyundai,Accent GLS,2012,40000,120000
Infiniti,FX35,2008,60000,140000
Isuzu,D-MAX,2015,70000,150000
Jaguar,Prestige,2020,20000,670000
Jeep,Cherokee,2018,70000,780000
Kia,Cadenza,2014,30000,450000
Lamborghini,Huracan,2017,20000,650000
Lancia,Delta,2011,40000,230000
Land Rover,Defender,2022,80000,760000
Lexus,ES 300h,2017,10000,230000
Lincoln,Aviator,2024,20000,430000
Lotus,Evora,2009,70000,420000
Maserati,Ghibli,2018,30000,410000
Mazda,CX-30,2022,60000,450000
Mercedez,AMG GT,2018,80000,460000
Mercury,Milan,2010,30000,570000
Mini,Clubman,2018,20000,680000
Mitsubishi,ASX,2019,10000,130000
Nissan,350OZ,2008,60000,350000
Opel,Adam,2013,30000,570000
Peugeot,Allure,2014,20000,790000
Pontiac,G6 GT,2008,50000,240000
Porsche,Boxster,2017,60000,460000
Ram,Arkana,2019,80000,680000
Renault,Alaskan,2020,50000,890000
Saab,Vector,2011,40000,310000
Saturn,Aura XE,2008,90000,350000
Scion,FR-S,2013,30000,870000
Seat,Arona,2023,60000,120000
Skoda,Citigo,2014,20000,230000
Smart,1 Pro+,2024,70000,340000
SsangYong,Korando,2020,60000,450000
Subara,Ascent,2022,40000,560000
Suzuki,Across GLX,2023,90000,780000
Tesla,s 85,2014,30000,120000
Volkswagen,Amarok,2017,20000,232000
Volvo,C30,2008,50000,567000
Wiesmann,Roadster,2009,70000,430000